iter	Passed	Remaining
0	48	48088
1	49	24524
2	50	16622
3	50	12650
4	51	10297
5	52	8723
6	53	7584
7	54	6737
8	55	6067
9	55	5531
10	56	5097
11	57	4738
12	58	4434
13	59	4178
14	60	3960
15	61	3766
16	62	3585
17	62	3423
18	63	3280
19	64	3149
20	65	3032
21	65	2929
22	66	2838
23	67	2750
24	68	2670
25	69	2597
26	70	2528
27	71	2465
28	71	2406
29	72	2354
30	73	2304
31	74	2257
32	75	2213
33	76	2170
34	77	2130
35	78	2089
36	79	2056
37	79	2024
38	80	1993
39	81	1965
40	82	1939
41	83	1910
42	84	1880
43	85	1852
44	86	1825
45	86	1800
46	87	1775
47	88	1753
48	89	1728
49	89	1705
50	90	1684
51	91	1661
52	91	1639
53	92	1619
54	93	1599
55	93	1579
56	94	1562
57	95	1544
58	95	1525
59	96	1506
60	96	1488
61	97	1470
62	97	1452
63	98	1435
64	98	1418
65	99	1402
66	99	1387
67	99	1368
68	100	1354
69	100	1340
70	101	1327
71	101	1312
72	102	1298
73	102	1283
74	102	1269
75	103	1256
76	103	1243
77	104	1231
78	104	1218
79	104	1206
80	105	1194
81	105	1183
82	106	1172
83	106	1161
84	106	1148
85	107	1138
86	107	1127
87	107	1117
88	108	1106
89	108	1096
90	108	1085
91	108	1075
92	109	1065
93	109	1056
94	109	1046
95	110	1037
96	110	1028
97	110	1019
98	111	1010
99	111	1002
100	111	993
101	111	984
102	112	976
103	112	968
104	112	960
105	113	953
106	113	945
107	113	938
108	113	931
109	114	924
110	114	917
111	114	909
112	114	902
113	115	895
114	115	888
115	115	881
116	115	874
117	116	868
118	116	861
119	116	854
120	116	848
121	117	842
122	117	835
123	117	829
124	117	823
125	117	817
126	118	811
127	118	805
128	118	799
129	118	794
130	118	789
131	119	783
132	119	778
133	119	773
134	119	768
135	120	763
136	120	758
137	120	752
138	120	748
139	121	743
140	121	738
141	121	734
142	121	729
143	121	725
144	122	720
145	122	716
146	122	712
147	122	707
148	123	703
149	123	699
150	123	695
151	123	691
152	124	687
153	124	683
154	124	679
155	124	675
156	125	671
157	125	667
158	125	664
159	125	660
160	126	656
161	126	652
162	126	649
163	126	646
164	126	642
165	127	639
166	127	635
167	127	632
168	127	628
169	128	625
170	128	622
171	128	619
172	128	616
173	129	612
174	129	609
175	129	606
176	129	603
177	130	600
178	130	597
179	130	594
180	130	591
181	130	588
182	131	585
183	131	582
184	131	579
185	131	576
186	132	574
187	132	571
188	132	568
189	132	565
190	132	563
191	133	560
192	133	558
193	133	555
194	133	552
195	134	550
196	134	547
197	134	545
198	135	543
199	135	541
200	135	538
201	135	536
202	136	534
203	136	532
204	136	529
205	136	527
206	137	525
207	137	523
208	137	520
209	137	518
210	138	516
211	138	514
212	138	512
213	138	510
214	139	508
215	139	506
216	139	503
217	139	501
218	140	499
219	140	497
220	140	495
221	140	493
222	141	491
223	141	490
224	141	488
225	141	486
226	142	484
227	142	482
228	142	480
229	142	478
230	143	476
231	143	474
232	143	472
233	143	471
234	144	469
235	144	467
236	144	465
237	144	463
238	145	462
239	145	460
240	145	458
241	145	456
242	146	454
243	146	453
244	146	451
245	146	449
246	146	448
247	147	446
248	147	444
249	147	443
250	147	441
251	148	439
252	148	438
253	148	436
254	148	435
255	149	433
256	149	432
257	149	430
258	149	428
259	150	427
260	150	425
261	150	424
262	150	422
263	151	421
264	151	419
265	151	418
266	151	416
267	152	415
268	152	413
269	152	412
270	152	411
271	153	409
272	153	408
273	153	406
274	153	405
275	154	404
276	154	402
277	154	401
278	154	400
279	155	398
280	155	397
281	155	396
282	155	394
283	156	393
284	156	392
285	156	390
286	156	389
287	157	388
288	157	387
289	157	385
290	157	384
291	158	383
292	158	382
293	158	380
294	158	379
295	159	378
296	159	377
297	159	376
298	159	374
299	160	373
300	160	372
301	160	371
302	160	370
303	161	369
304	161	367
305	161	366
306	161	365
307	162	364
308	162	363
309	162	362
310	163	361
311	163	360
312	163	358
313	163	357
314	164	356
315	164	355
316	164	354
317	164	353
318	165	352
319	165	351
320	165	350
321	165	349
322	166	348
323	166	347
324	166	346
325	166	345
326	167	344
327	167	343
328	167	342
329	167	341
330	168	339
331	168	338
332	168	337
333	168	336
334	169	335
335	169	334
336	169	333
337	169	332
338	170	331
339	170	330
340	170	329
341	170	328
342	171	327
343	171	326
344	171	325
345	171	324
346	172	323
347	172	323
348	172	322
349	172	321
350	173	320
351	173	319
352	173	318
353	173	317
354	174	316
355	174	315
356	174	314
357	174	313
358	175	312
359	175	311
360	175	310
361	175	310
362	176	309
363	176	308
364	176	307
365	176	306
366	177	305
367	177	304
368	177	303
369	177	303
370	178	302
371	178	301
372	178	300
373	179	299
374	179	298
375	179	297
376	179	297
377	180	296
378	180	295
379	180	294
380	180	293
381	180	292
382	181	291
383	181	291
384	181	290
385	181	289
386	182	288
387	182	287
388	182	286
389	182	286
390	183	285
